id_registro,fecha,finca,zona,producto,cantidad,unidad,precio_unitario,turno,observacion
1,2026-02-23,El Progreso,oriente,huevo,33,unidades,627,tarde,lluvia
2,2026-03-29,La Pradera,centro,yuca,206.64,kilos,1452,noche,normal
3,2026-04-21,El Porvenir,occidente,maiz,133.45,kilos,1580,manana,normal
4,2026-03-21,La Pradera,sur,maiz,190.17,kilos,1818,manana,baja produccion
5,2026-02-27,La Pradera,sur,huevo,143,unidades,686,noche,baja produccion
6,2026-05-09,Buenos Aires,norte,leche,17.19,litros,2253,tarde,normal
7,2026-02-23,El Progreso,centro,leche,23.87,litros,2087,noche,baja produccion
8,2026-02-10,La Pradera,oriente,maiz,96.33,kilos,1523,tarde,lluvia
9,2026-02-23,El Porvenir,sur,huevo,116,unidades,353,noche,normal
10,2026-03-10,El Progreso,oriente,yuca,107.46,kilos,1581,noche,normal
11,2026-02-12,El Porvenir,oriente,queso,12.7,kilos,7648,manana,normal
12,2026-02-15,La Esperanza,oriente,huevo,73,unidades,480,noche,baja produccion
13,2026-03-16,El Porvenir,centro,maiz,266.27,kilos,1336,noche,lluvia
14,2026-04-16,La Esperanza,oriente,queso,28.37,kilos,7239,noche,baja produccion
15,2026-02-04,El Progreso,norte,queso,5.95,kilos,6784,tarde,baja produccion
16,2026-01-22,El Porvenir,oriente,maiz,217.72,kilos,1852,tarde,revisar registro
17,2026-05-07,El Porvenir,norte,huevo,115,unidades,691,noche,normal
18,2026-05-10,El Porvenir,norte,queso,23.81,kilos,7289,noche,revisar registro
19,2026-03-07,El Progreso,centro,maiz,102.61,kilos,1834,noche,normal
20,2026-04-26,El Progreso,norte,yuca,116.99,kilos,1435,noche,revisar registro
21,2026-02-17,La Pradera,sur,huevo,110,unidades,562,tarde,baja produccion
22,2026-03-20,La Pradera,sur,leche,10.02,litros,2658,tarde,revisar registro
23,2026-03-05,San Miguel,occidente,huevo,78,unidades,457,noche,revisar registro
24,2026-01-24,La Pradera,norte,queso,30.06,kilos,8976,noche,normal
25,2026-02-01,San Miguel,occidente,leche,42.36,litros,1872,manana,revisar registro
26,2026-02-10,La Pradera,norte,huevo,162,unidades,428,tarde,lluvia
27,2026-03-02,El Porvenir,norte,queso,20.5,kilos,6952,manana,normal
28,2026-01-30,San Miguel,centro,maiz,180.97,kilos,1484,tarde,lluvia
29,2026-03-23,El Porvenir,oriente,yuca,60.84,kilos,1545,noche,normal
30,2026-02-08,La Esperanza,sur,queso,25.95,kilos,8307,manana,revisar registro
31,2026-05-31,Buenos Aires,centro,maiz,334.91,kilos,1415,manana,normal
32,2026-05-16,El Porvenir,centro,yuca,113.61,kilos,1472,tarde,normal
33,2026-03-22,La Esperanza,occidente,huevo,176,unidades,639,noche,baja produccion
34,2026-05-31,Buenos Aires,occidente,maiz,333.27,kilos,1696,noche,normal
35,2026-05-19,El Porvenir,oriente,leche,15.29,litros,2718,noche,normal
36,2026-04-24,Buenos Aires,centro,yuca,202.4,kilos,997,noche,lluvia
37,2026-01-12,San Miguel,sur,maiz,200.72,kilos,1506,manana,baja produccion
38,2026-05-01,La Esperanza,norte,yuca,53.42,kilos,1204,tarde,baja produccion
39,2026-01-10,El Progreso,sur,maiz,212.23,kilos,1527,noche,normal
40,2026-04-29,La Pradera,sur,maiz,182.86,kilos,1709,manana,lluvia
41,2026-01-05,Buenos Aires,centro,yuca,199.91,kilos,1383,tarde,baja produccion
42,2026-04-08,La Pradera,sur,yuca,222.18,kilos,1293,noche,normal
43,2026-02-10,San Miguel,sur,leche,27.23,litros,2753,manana,normal
44,2026-02-13,San Miguel,oriente,huevo,86,unidades,441,noche,normal
45,2026-02-19,La Pradera,occidente,maiz,309.04,kilos,1630,noche,revisar registro
46,2026-05-16,El Porvenir,oriente,queso,22.83,kilos,7882,noche,baja produccion
47,2026-03-30,El Progreso,oriente,huevo,179,unidades,578,manana,baja produccion
48,2026-04-24,San Miguel,occidente,queso,31.11,kilos,8958,tarde,baja produccion
49,2026-02-16,El Progreso,oriente,queso,32.22,kilos,9095,manana,normal
50,2026-03-19,La Pradera,sur,huevo,132,unidades,528,manana,revisar registro
51,2026-03-09,La Esperanza,centro,maiz,73.76,kilos,1484,noche,normal
52,2026-04-07,San Miguel,oriente,maiz,231.04,kilos,1239,manana,baja produccion
53,2026-03-23,El Progreso,norte,huevo,45,unidades,405,noche,baja produccion
54,2026-03-09,San Miguel,sur,queso,29.86,kilos,8140,manana,revisar registro
55,2026-03-11,La Esperanza,occidente,maiz,242.21,kilos,1875,manana,revisar registro
56,2026-01-20,El Progreso,centro,yuca,100.75,kilos,1499,manana,lluvia
57,2026-03-15,La Esperanza,norte,queso,27.71,kilos,8073,manana,baja produccion
